,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:
39,Ford,Bronco,2022,SUV / crossover,Oxford White,Dark Space Gray,2 mi,1FMEE5BP8NLA75917,NLA75917,"$66,540",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks 4-Door 4WD
40,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMDE5DH7NLB25868,T37293,"$72,430",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks Advanced 4-Door 4WD
41,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMEE5DH9NLB06470,T37118,"$75,220",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
42,Ford,Bronco,2022,SUV / crossover,HOT Pepper Red MET Tint,Dark Space Gray,0 mi,1FMEE5BP5NLB17640,T37117,"$75,575",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
43,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMEE5DH7NLB23705,T37236,"$76,595",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
44,Ford,Bronco,2022,SUV / crossover,Oxford White,Dark Space Gray,0 mi,1FMDE5BH6NLB06084,T37147,"$77,105",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks 4-Door 4WD
45,Ford,Bronco,2022,SUV / crossover,Shadow Black,Dark Space Gray,68 mi,1FMEE5BP2NLB10385,T37165,"$79,670",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
46,Ford,Bronco,2022,SUV / crossover,Cactus Gray,Dark Space Gray,0 mi,1FMEE5DP2NLB48342,T37411,"$79,835",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
47,Ford,Bronco,2022,SUV / crossover,Eruption Green Metallic,Dark Space Gray,18 mi,1FMDE5DHXNLA93191,6703E5D,"$81,385",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks Advanced 4-Door 4WD
48,Ford,Bronco,2022,SUV / crossover,Race Red,CLOTH SANDSTONE/BLK SEATS BLACK ONYX INTERIOR,0 mi,1FMEE5DP4NLB22776,T37190,"$83,895",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
