,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
55,Ford,Bronco,2022,SUV  crossover,,,,1FMDE5BH8NLA99865,A99865,102000,Carrio MotorCars,5120 N State Road 7 Ft. Lauderdale FL 33319,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
56,Ford,Bronco,2022,SUV  crossover,Carbonized Gray,CLOTH GRAY,0,1FMDE5CH3NLB11483,T37173,4WD,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Outer Banks Advanced 2Door 4WD,,,,0,,,,,,,,,,,,,
57,Ford,Bronco,2022,SUV  crossover,Chili Pepper Red,Black blk,,1FMDE5CP4NLB43754,7259E5C,77915,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Advanced 2Door 4WD,,,,0,,,,,,,,,,,,,
58,Ford,Bronco,2022,SUV  crossover,Iconic Silver,Black Onyx,0,1FMEE5BP3NLB24179,X24179,4WD,Planet Ford Dallas,3333 Inwood Road Dallas TX 75235,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
59,Ford,Bronco,2022,SUV  crossover,,,1,1FMEE5DP6NLB30846,NLB30846,4WD,Bill Utter Ford,4901 S Interstate 35 Denton TX 76210,Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
60,Ford,Bronco,2022,SUV  crossover,,,1,1FMEE5DPXNLB31207,NLB31207,4WD,Bill Utter Ford,4901 S Interstate 35 Denton TX 76210,Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
61,Ford,Bronco,2022,SUV  crossover,,,5,1FMDE5CP2NLB30694,NLB30694,4WD,Bill Utter Ford,4901 S Interstate 35 Denton TX 76210,Advanced 2Door 4WD,,,,0,,,,,,,,,,,,,
62,Ford,Bronco,2022,SUV  crossover,White,Black,25,1FMEE5DP1NLB30348,49691,Bronco,Mac Haik Ford Desoto,515 I35 Se Desoto TX 75115,,,,,0,,,,,,,,,,,,,
63,Ford,Bronco,2022,SUV  crossover,Black,Black,25,1FMEE5DH8NLB30937,49690,Bronco,Mac Haik Ford Desoto,515 I35 Se Desoto TX 75115,,,,,0,,,,,,,,,,,,,
64,Ford,Bronco,2021,SUV  crossover,Carbonized Gray Metallic,Gray Medium Sandstone,9737,1FMEE5DP1MLA65175,FA1343,4WD,Mac Haik Ford Desoto,515 I35 Se Desoto TX 75115,Wildtrak Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
