,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Cabin Size:,NHTSA Overall Safety Rating:
38,"$60,281",,,"$60,281","Granbury, TX
38 mi away",6 miles,Automatic,Brown,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFJA5DB9NX038318,NX038318,New,"$60,281",Tundra,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049",Large Crew Cab,
39,"$61,248",,,"$61,248","Weatherford, TX
32 mi away",6 miles,Automatic,Red,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFJA5DB6NX040415,NX040415,New,"$61,248",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
40,"$62,845",,,"$61,729","Grapevine, TX
13 mi away",0 miles,Automatic,Celestial Silver,Brown (SADDLE TAN),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFMA5AB2NX011222,NX011222,New,"$62,845",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
41,"$65,281",,,"$64,165","Grapevine, TX
13 mi away",0 miles,Automatic,Magnetic Gray,Gray (CREAM LEATHER),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFMA5EC8NX21A301,NX21A301,New,"$65,281",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
42,"$66,042",,,"$66,042","Weatherford, TX
32 mi away",6 miles,Automatic,White,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFMA5EC4NX007336,NX007336,New,"$66,042",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
43,"$68,343",,,"$67,227","Grapevine, TX
13 mi away",0 miles,Automatic,Celestial Silver,Silver (CREAM),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFMA5DB0NX039001,NX039001,New,"$68,343",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
44,"$68,768",,,"$67,652","Grapevine, TX
13 mi away",0 miles,Automatic,WHITE.PEA,CREAM LEATHER,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFMA5DB1NX040884,NX040884,New,"$68,768",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
45,"$77,922",,,"$77,922","Weatherford, TX
32 mi away",6 miles,Automatic,Gray,,"17 MPG City
23 MPG Highway
19 MPG Combined",,437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,5TFVC5DB1NX003705,NX003705,New,"$77,922",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
46,"$78,347",,,"$78,347","Lewisville, TX
20 mi away",5 miles,Automatic,White (CHILL),,"17 MPG City
23 MPG Highway
19 MPG Combined",,437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,5TFVC5DB7NX003594,NX003597,New,"$78,347",Tundra,Lone Star Toyota of Lewisville,"1547 S. Stemmons Frwy. Lewisville, TX 75067",Large Crew Cab,
47,No Price Listed,,,Not Provided,"Richardson, TX
28 mi away",3 miles,,Blueprint,Black,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB1NX011210,NX011210,New,RWD,Tundra,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",Large Crew Cab,
48,No Price Listed,,,Not Provided,"Richardson, TX
28 mi away",25 miles,,Blueprint,Gray,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX011693,NX011693,New,RWD,Tundra,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",Large Crew Cab,
49,No Price Listed,,,Not Provided,"Dallas, TX
19 mi away",---,Automatic,Midnight Black,Black (Blk Fabric),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AA2NX011787,NX011787,New,RWD,Tundra,South Toyota,"39660 Lyndon B Johnson Fwy Dallas, TX 75237",Crew Cab,
50,"$32,020",$205,"$32,225",Not Provided,"Cleveland, TX
206 mi away",0 miles,Automatic,CACTUS GRAY,STONE/BLACK,,,310 hp 2.7L V6,,Gasoline,1FMEE5DP8NLB35076,F11676,New,"$32,225",Bronco,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",,
51,"$40,470",$205,"$40,675",Not Provided,"Cleveland, TX
206 mi away",0 miles,,Blue (AREA 51),GRAY/BLACK,,,270 hp 2.3L I4,,Gasoline,1FMDE5BH9NLB12171,F11583,New,"$40,675",Bronco,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",,
52,"$42,015",$205,"$42,220",Not Provided,"Cleveland, TX
206 mi away",0 miles,,Blue (AREA 51),GRAY/BLACK,,,270 hp 2.3L I4,,Gasoline,1FMDE5BH9NLB13062,F11684,New,"$42,220",Bronco,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",,
53,"$44,495",$205,"$44,700",Not Provided,"Cleveland, TX
206 mi away",0 miles,Automatic,CYBER ORANGE,VINYL BLACK,,,310 hp 2.7L V6,,Gasoline,1FMDE5CP1NLB31612,F11678,New,"$44,700",Bronco,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",,
54,"$46,520",,,"$46,520","San Marcos, TX
46 mi away",10 miles,,Blue (Area 51),Blue (SV),,,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,1FMDE5BH2NLB33377,33377N,New,"$46,520",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
55,"$62,955",$206,"$63,162","$52,955","Gladewater, TX
297 mi away",10 miles,Automatic,Velocity Blue Metallic,Blue (Roast),"20 MPG City
21 MPG Highway
20 MPG Combined",,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,1FMDE5BH4NLA82318,22T219,New,"$63,162",Bronco,"J.O. Williams Motors, Inc.","419 E Broadway Ave. Gladewater, TX 75647",,
56,"$54,270",,,"$54,270","San Marcos, TX
46 mi away",10 miles,,Shadow Black,Black (PV),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP6NLB31740,31740N,New,"$54,270",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
57,"$54,920",,,"$54,920","San Marcos, TX
46 mi away",10 miles,,Shadow Black,Black (RV),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP4NLB25337,25337N,New,"$54,920",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
58,"$55,725",,,"$55,725","San Marcos, TX
46 mi away",10 miles,,Iconic Silver Metallic,Silver (2V),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP3NLB09887,09887N,New,"$55,725",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
59,"$56,590",$205,"$56,795",Not Provided,"Cleveland, TX
206 mi away",3 miles,Automatic,VELOCITY BLUE,Blue (SANDSTONE),,,310 hp 2.7L V6,,Gasoline,1FMEE5DP4NLB30943,F11665,New,"$56,795",Bronco,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",,
60,"$57,235",,,"$57,235","Devine, TX
34 mi away",0 miles,Automatic,Silver Metallic,Black (Med S&Stone W/Blk),,,310 hp 2.7L V6,,Gasoline,1FMEE5DP0NLA73236,23034,New,"$57,235",Bronco,Chaparral Ford Inc.,"102 County Road 773 Devine, TX 78016",,
61,"$57,590",Free,"$57,590",Not Provided,,269 miles,Automatic,Blue,Black,"20 MPG City
21 MPG Highway
20 MPG Combined",,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,1FMDE5BH2NLA83712,2001825017,New,"$57,590",Bronco,Carvana,"102 County Road 773 Devine, TX 78016",,
62,"$63,245",,,"$63,245","San Marcos, TX
46 mi away",10 miles,,Race Red,Red (TV),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP1NLB31435,31435N,New,"$63,245",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
63,"$64,185",,,"$64,185","San Marcos, TX
46 mi away",10 miles,,Cactus Gray,Gray (8V),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP3NLB32912,32912N,New,"$64,185",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666",,
64,"$68,990",Free,"$68,990",Not Provided,,58 miles,Automatic,Green,Black,"17 MPG City
17 MPG Highway
17 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP0NLA79277,2001901672,New,"$68,990",Bronco,Carvana,"2661 N Interstate 35 San Marcos, TX 78666",,
65,"$69,990","$1,182","$71,172",Not Provided,"Lincoln, NE
789 mi away",66 miles,Automatic,Velocity Blue,,,,270 hp 2.3L I4,,Gasoline,1FMDE5BH6NLB13259,1060,New,"$71,172",Bronco,Electro Car,"2000 Southwest 5th Street Lincoln, NE 68522",,
66,"$72,990",Free,"$72,990",Not Provided,,74 miles,Automatic,Blue,Black,"17 MPG City
17 MPG Highway
17 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP2NLB05930,2001809560,New,"$72,990",Bronco,Carvana,"2000 Southwest 5th Street Lincoln, NE 68522",,
67,"$99,998","$2,041","$102,039",Not Provided,"Ft. Lauderdale, FL
1,136 mi away",---,Automatic,,,"20 MPG City
21 MPG Highway
20 MPG Combined",,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,1FMDE5BH8NLA99865,A99865,New,"$102,039",Bronco,Carrio MotorCars,"5120 N State Road 7 Ft. Lauderdale, FL 33319",,
68,No Price Listed,,,Not Provided,"Boerne, TX
26 mi away",0 miles,Automatic,Red,Red (Pv),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMDE5CP4NLB41261,220742,New,4WD,Bronco,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",,
69,No Price Listed,,,"$55,500","Boerne, TX
26 mi away",6 miles,Automatic,Gray,Gray (2v),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP6NLA84810,220338,New,4WD,Bronco,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",,
70,"$41,990",Free,"$41,990",Not Provided,,193 miles,8-Speed Automatic,Gray,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,3FTTW8F98NRA45047,2001820371,New,"$41,990",Maverick,Carvana,"31480 IH 10 west Boerne, TX 78006",Crew Cab,
