,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
31,"$56,590",Not Provided,"Cleveland, TX
157 mi away",3 miles,Automatic,VELOCITY BLUE,Blue (SANDSTONE),,310 hp 2.7L V6,,Gasoline,,1FMEE5DP4NLB30943,F11665,New,"$56,744",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$154,"$56,744",,
32,"$57,590",Not Provided,,269 miles,Automatic,Blue,Black,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH2NLA83712,2001825017,New,"$57,590",Bronco,Carvana,"3944 US 59 S<br>Cleveland, TX 77328",Free,"$57,590",,
33,"$63,245","$63,245","San Marcos, TX
23 mi away",10 miles,,Race Red,Red (TV),"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP1NLB31435,31435N,New,"$63,245",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
34,"$64,185","$64,185","San Marcos, TX
23 mi away",10 miles,,Cactus Gray,Gray (8V),,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP3NLB32912,32912N,New,"$64,185",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
35,"$68,990",Not Provided,,58 miles,Automatic,Green,Black,"17 MPG City
17 MPG Highway
17 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP0NLA79277,2001901672,New,"$68,990",Bronco,Carvana,"2661 N Interstate 35<br>San Marcos, TX 78666",Free,"$68,990",,
36,"$69,990",Not Provided,"Lincoln, NE
731 mi away",66 miles,Automatic,Velocity Blue,,,270 hp 2.3L I4,,Gasoline,,1FMDE5BH6NLB13259,1060,New,"$71,087",Bronco,Electro Car,"2000 Southwest 5th Street<br>Lincoln, NE 68522","$1,096","$71,087",,
37,"$72,990",Not Provided,,74 miles,Automatic,Blue,Black,"17 MPG City
17 MPG Highway
17 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP2NLB05930,2001809560,New,"$72,990",Bronco,Carvana,"2000 Southwest 5th Street<br>Lincoln, NE 68522",Free,"$72,990",,
38,"$99,998",Not Provided,"Ft. Lauderdale, FL
1,104 mi away",---,Automatic,,,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH8NLA99865,A99865,New,"$101,983",Bronco,Carrio MotorCars,"5120 N State Road 7<br>Ft. Lauderdale, FL 33319","$1,985","$101,983",,
39,No Price Listed,Not Provided,"Austin, TX
12 mi away",0 miles,Automatic,Shadow Black,Black Onyx,"18 MPG City
20 MPG Highway
18 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP8MLA94298,2211372,New,4WD,Bronco,Covert Ford Lincoln-Austin,"11514 Research Blvd<br>Austin, TX 78759",,,,
40,No Price Listed,Not Provided,"Austin, TX
12 mi away",0 miles,Automatic,Orange Metallic,Black Onyx,"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMDE5CP5NLA97657,2225602,New,4WD,Bronco,Covert Ford Lincoln-Austin,"11514 Research Blvd<br>Austin, TX 78759",,,,
