VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
1C4HJXCG4NW180850,"$50,990 ","$50,990 ","$51,298 ",,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
1C4HJXDG9NW194970,"$50,220 ","$49,771 ","$49,771 ",,Wrangler,2022,8-Speed Automatic,10 miles,Atascosa Chrysler Dodge Jeep,"110128 I-37 Pleasanton, TX 78064"
1C4HJXDN2NW231419,"$39,565 ","$36,465 ","$36,465 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN9NW231417,"$39,565 ","$36,465 ","$36,465 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDNXNW252230,"$42,370 ","$39,270 ","$39,270 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN1NW243593,"$42,715 ","$39,615 ","$39,615 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDNXNW252227,"$42,765 ","$39,665 ","$39,665 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN3NW252232,"$42,765 ","$41,609 ","$41,609 ",,Wrangler,2022,8-Speed Automatic,1 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG1NW240629,"$42,985 ","$39,885 ","$39,885 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN5NW243595,"$43,065 ","$39,965 ","$39,965 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN1NW253881,"$40,060 ","$40,060 ","$40,060 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDN3NW253882,"$40,060 ","$40,060 ","$40,060 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDN6NW243959,"$40,160 ","$40,160 ","$40,160 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
