Unnamed: 0,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
29,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXDN0NW251569,52637407,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
30,Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4HJXDN7NW251567,52637405,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
31,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray,Black,0 mi,1C4HJXDN8NW240058,240058,"$47,510",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521",Willys 4WD,,,,,,,,,,,,,,,,,
32,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Silver (A7x9),,1C4HJXDGXNW240175,52637647,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
33,Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Green (A7x9),,1C4HJXDG8NW240174,52637646,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
34,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Blue (A7x9),,1C4HJXDG4NW240172,52637644,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
35,Jeep,Wrangler,2022.0,SUV / crossover,Gray (granite crystal metallic clearcoat),Gray (A7x9),,1C4HJXDG2NW240171,52637643,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
36,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Gray (A7x9),,1C4HJXDG3NW240177,52637649,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
37,Jeep,Wrangler,2022.0,SUV / crossover,Bright White,Brown (Heritage Tan/Black),0 mi,1C4HJXDGXNW231427,231427,"$47,570",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",High Tide 4WD,,,,,,,,,,,,,,,,,
38,Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,0 mi,1C4HJXEN2NW243911,NW243911,"$47,730",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
39,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,0 mi,1C4HJXEN4NW247491,NW247491,"$47,730",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
40,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,0 mi,1C4HJXENXNW243915,NW243915,"$47,730",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
41,Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,0 mi,1C4HJXKNXNW208358,NW208358,"$47,850",Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North Humble, TX 77338",Sport RHD 4WD,,,,,,,,,,,,,,,,,
42,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray,Black,0 mi,1C4HJXDG3NW231429,231429,"$47,965",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",High Tide 4WD,,,,,,,,,,,,,,,,,
43,Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,0 mi,1C4HJXEN4NW247488,NW247488,"$48,105",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
44,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,0 mi,1C4HJXEN4NW243912,NW243912,"$48,135",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
45,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,0 mi,1C4HJXEN6NW243913,NW243913,"$48,135",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
46,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,0 mi,1C4HJXEG1NW255811,NW255811,"$48,230",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
47,Jeep,Wrangler,2022.0,SUV / crossover,Bright White,Black,0 mi,1C4HJXDG2NW227579,227579,"$48,270",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",High Tide 4WD,,,,,,,,,,,,,,,,,
48,Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,0 mi,1C4HJXEG1NW255808,NW255808,"$48,330",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
49,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearlcoat,Black,0 mi,1C4HJXEN3NW243917,NW243917,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
50,Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,0 mi,1C4HJXEN7NW253852,NW253852,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
51,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,0 mi,1C4HJXEN1NW243916,NW243916,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
52,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,0 mi,1C4HJXEN2NW247490,NW247490,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
